Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-05,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.6600e-01,0.79,0.32,0.39,0.0135
-1.6598e-01,0.79,0.36,0.35,0.0155
-1.6597e-01,0.79,0.36,0.39,0.0155
-1.6595e-01,0.79,0.4,0.39,0.0155
-1.6594e-01,0.79,0.4,0.39,0.0155
-1.6592e-01,0.79,0.36,0.39,0.0155
-1.6590e-01,0.79,0.36,0.39,0.0135
-1.6589e-01,0.79,0.36,0.35,0.0155
-1.6587e-01,0.79,0.36,0.39,0.0155
-1.6586e-01,0.79,0.36,0.39,0.0155
-1.6584e-01,0.79,0.36,0.35,0.0155
-1.6582e-01,0.79,0.4,0.39,0.0155
-1.6581e-01,0.83,0.36,0.39,0.0155
-1.6579e-01,0.79,0.32,0.39,0.0135
-1.6578e-01,0.79,0.36,0.39,0.0135
-1.6576e-01,0.79,0.36,0.39,0.0155
-1.6574e-01,0.79,0.4,0.39,0.0155
-1.6573e-01,0.79,0.4,0.39,0.0155
-1.6571e-01,0.79,0.36,0.39,0.0155
-1.6570e-01,0.79,0.36,0.39,0.0155
-1.6568e-01,0.79,0.32,0.39,0.0155
-1.6566e-01,0.79,0.36,0.35,0.0155
-1.6565e-01,0.83,0.36,0.35,0.0155
-1.6563e-01,0.83,0.32,0.39,0.0155
-1.6562e-01,0.79,0.32,0.39,0.0155
-1.6560e-01,0.79,0.32,0.39,0.0155
-1.6558e-01,0.79,0.32,0.39,0.0155
-1.6557e-01,0.79,0.36,0.35,0.0155
-1.6555e-01,0.79,0.36,0.39,0.0155
-1.6554e-01,0.79,0.36,0.35,0.0115
-1.6552e-01,0.79,0.36,0.39,0.0135
-1.6550e-01,0.79,0.36,0.39,0.0155
-1.6549e-01,0.79,0.36,0.39,0.0135
