Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,0.5,0.2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.7392e-02,0.35,0.36,0.255,-0.038
-9.7384e-02,0.35,0.36,0.255,-0.03
-9.7376e-02,0.35,0.36,0.235,-0.03
-9.7368e-02,0.39,0.36,0.255,-0.03
-9.7360e-02,0.39,0.36,0.255,-0.03
-9.7352e-02,0.39,0.36,0.275,-0.03
-9.7344e-02,0.35,0.36,0.255,-0.022
-9.7336e-02,0.39,0.36,0.255,-0.03
-9.7328e-02,0.39,0.4,0.255,-0.03
-9.7320e-02,0.39,0.36,0.255,-0.03
-9.7312e-02,0.39,0.36,0.255,-0.03
-9.7304e-02,0.39,0.36,0.255,-0.03
-9.7296e-02,0.43,0.36,0.255,-0.03
-9.7288e-02,0.39,0.36,0.255,-0.03
-9.7280e-02,0.39,0.32,0.235,-0.03
-9.7272e-02,0.39,0.32,0.255,-0.03
-9.7264e-02,0.35,0.4,0.255,-0.03
-9.7256e-02,0.39,0.36,0.255,-0.03
-9.7248e-02,0.35,0.32,0.255,-0.03
-9.7240e-02,0.39,0.4,0.255,-0.03
-9.7232e-02,0.35,0.36,0.255,-0.03
-9.7224e-02,0.39,0.36,0.255,-0.03
-9.7216e-02,0.39,0.36,0.255,-0.038
-9.7208e-02,0.39,0.36,0.275,-0.03
-9.7200e-02,0.39,0.36,0.255,-0.03
-9.7192e-02,0.39,0.36,0.255,-0.03
-9.7184e-02,0.39,0.36,0.255,-0.03
-9.7176e-02,0.35,0.36,0.255,-0.03
-9.7168e-02,0.39,0.4,0.255,-0.038
-9.7160e-02,0.39,0.36,0.255,-0.03
-9.7152e-02,0.43,0.36,0.255,-0.03
-9.7144e-02,0.39,0.36,0.255,-0.038
-9.7136e-02,0.39,0.36,0.255,-0.03
-9.7128e-02,0.35,0.36,0.255,-0.03
-9.7120e-02,0.35,0.36,0.235,-0.03
-9.7112e-02,0.39,0.32,0.235,-0.03
-9.7104e-02,0.39,0.36,0.255,-0.03
-9.7096e-02,0.39,0.32,0.235,-0.038
-9.7088e-02,0.39,0.36,0.255,-0.038
-9.7080e-02,0.39,0.36,0.255,-0.03
-9.7072e-02,0.39,0.36,0.255,-0.038
-9.7064e-02,0.39,0.36,0.255,-0.03
-9.7056e-02,0.39,0.36,0.235,-0.038
-9.7048e-02,0.35,0.32,0.275,-0.03
-9.7040e-02,0.39,0.36,0.235,-0.03
-9.7032e-02,0.39,0.36,0.255,-0.03
-9.7024e-02,0.39,0.36,0.255,-0.03
-9.7016e-02,0.39,0.36,0.255,-0.03
-9.7008e-02,0.39,0.4,0.255,-0.03
-9.7000e-02,0.35,0.36,0.255,-0.03
-9.6992e-02,0.39,0.36,0.255,-0.03
-9.6984e-02,0.39,0.36,0.255,-0.03
-9.6976e-02,0.39,0.36,0.255,-0.038
-9.6968e-02,0.39,0.4,0.255,-0.03
-9.6960e-02,0.39,0.36,0.255,-0.03
-9.6952e-02,0.39,0.36,0.275,-0.03
-9.6944e-02,0.35,0.36,0.255,-0.03
-9.6936e-02,0.39,0.36,0.255,-0.03
-9.6928e-02,0.35,0.36,0.255,-0.03
-9.6920e-02,0.39,0.36,0.255,-0.03
-9.6912e-02,0.35,0.36,0.255,-0.03
-9.6904e-02,0.39,0.36,0.255,-0.03
-9.6896e-02,0.39,0.36,0.255,-0.03
-9.6888e-02,0.39,0.36,0.255,-0.03
-9.6880e-02,0.39,0.36,0.255,-0.03
-9.6872e-02,0.39,0.36,0.255,-0.038
-9.6864e-02,0.39,0.36,0.255,-0.03
-9.6856e-02,0.39,0.36,0.255,-0.038
-9.6848e-02,0.35,0.32,0.275,-0.038
-9.6840e-02,0.35,0.36,0.255,-0.03
-9.6832e-02,0.39,0.36,0.255,-0.03
-9.6824e-02,0.39,0.36,0.255,-0.03
-9.6816e-02,0.39,0.4,0.275,-0.03
-9.6808e-02,0.39,0.36,0.255,-0.022
-9.6800e-02,0.39,0.36,0.255,-0.03
-9.6792e-02,0.39,0.36,0.255,-0.03
-9.6784e-02,0.39,0.36,0.255,-0.03
-9.6776e-02,0.39,0.36,0.255,-0.03
-9.6768e-02,0.39,0.36,0.255,-0.03
-9.6760e-02,0.39,0.32,0.235,-0.03
-9.6752e-02,0.39,0.36,0.235,-0.03
-9.6744e-02,0.39,0.36,0.255,-0.03
-9.6736e-02,0.39,0.36,0.275,-0.03
-9.6728e-02,0.39,0.36,0.255,-0.03
-9.6720e-02,0.39,0.32,0.255,-0.038
-9.6712e-02,0.39,0.36,0.255,-0.03
-9.6704e-02,0.39,0.36,0.335,-0.03
-9.6696e-02,0.39,0.36,0.395,-0.222
-9.6688e-02,0.39,0.36,0.395,-0.166
-9.6680e-02,0.39,0.36,0.395,-0.102
-9.6672e-02,0.39,0.36,0.395,-0.07
-9.6664e-02,0.39,0.36,0.395,-0.078
-9.6656e-02,0.35,0.36,0.395,-0.11
-9.6648e-02,0.39,0.36,0.395,-0.158
-9.6640e-02,0.39,0.4,0.395,-0.134
-9.6632e-02,0.39,0.36,0.395,-0.126
-9.6624e-02,0.39,0.36,0.395,-0.134
-9.6616e-02,0.39,0.4,0.395,-0.126
-9.6608e-02,0.39,0.36,0.375,-0.134
-9.6600e-02,0.39,0.36,0.395,-0.126
-9.6592e-02,0.39,0.36,0.395,-0.126
-9.6584e-02,0.39,0.36,0.395,-0.126
-9.6576e-02,0.39,0.36,0.395,-0.126
-9.6568e-02,0.39,0.36,0.395,-0.126
-9.6560e-02,0.35,0.36,0.395,-0.126
-9.6552e-02,0.35,0.36,0.395,-0.134
-9.6544e-02,0.39,0.36,0.395,-0.126
-9.6536e-02,0.39,0.36,0.395,-0.134
-9.6528e-02,0.35,0.36,0.375,-0.134
-9.6520e-02,0.39,0.4,0.395,-0.126
-9.6512e-02,0.39,0.36,0.395,-0.126
-9.6504e-02,0.39,0.4,0.395,-0.126
-9.6496e-02,0.39,0.36,0.395,-0.126
-9.6488e-02,0.35,0.36,0.395,-0.126
-9.6480e-02,0.39,0.36,0.395,-0.126
-9.6472e-02,0.39,0.36,0.395,-0.134
-9.6464e-02,0.39,0.36,0.395,-0.134
-9.6456e-02,0.39,0.36,0.395,-0.126
-9.6448e-02,0.39,0.36,0.375,-0.126
-9.6440e-02,0.39,0.36,0.395,-0.126
-9.6432e-02,0.39,0.36,0.395,-0.126
-9.6424e-02,0.39,0.36,0.395,-0.134
-9.6416e-02,0.39,0.32,0.395,-0.134
-9.6408e-02,0.39,0.36,0.395,-0.134
-9.6400e-02,0.39,0.4,0.395,-0.126
-9.6392e-02,0.39,0.36,0.375,-0.126
-9.6384e-02,0.39,0.36,0.395,-0.134
-9.6376e-02,0.39,0.36,0.395,-0.126
-9.6368e-02,0.39,0.4,0.395,-0.126
-9.6360e-02,0.35,0.36,0.395,-0.126
-9.6352e-02,0.39,0.36,0.395,-0.126
-9.6344e-02,0.39,0.32,0.395,-0.134
-9.6336e-02,0.39,0.36,0.395,-0.126
-9.6328e-02,0.39,0.36,0.395,-0.126
-9.6320e-02,0.39,0.4,0.395,-0.126
-9.6312e-02,0.39,0.36,0.395,-0.134
-9.6304e-02,0.39,0.36,0.395,-0.126
-9.6296e-02,0.39,0.36,0.375,-0.126
-9.6288e-02,0.39,0.36,0.395,-0.134
-9.6280e-02,0.39,0.36,0.395,-0.126
-9.6272e-02,0.39,0.36,0.395,-0.126
-9.6264e-02,0.39,0.36,0.395,-0.126
-9.6256e-02,0.39,0.36,0.395,-0.126
-9.6248e-02,0.39,0.36,0.395,-0.134
-9.6240e-02,0.35,0.36,0.395,-0.126
-9.6232e-02,0.35,0.4,0.395,-0.126
-9.6224e-02,0.39,0.36,0.395,-0.126
-9.6216e-02,0.39,0.36,0.395,-0.134
-9.6208e-02,0.39,0.36,0.395,-0.126
-9.6200e-02,0.35,0.36,0.395,-0.134
-9.6192e-02,0.39,0.36,0.395,-0.126
-9.6184e-02,0.39,0.32,0.395,-0.134
-9.6176e-02,0.39,0.4,0.395,-0.126
-9.6168e-02,0.39,0.4,0.395,-0.134
-9.6160e-02,0.39,0.36,0.395,-0.126
-9.6152e-02,0.39,0.36,0.395,-0.134
-9.6144e-02,0.39,0.36,0.395,-0.134
-9.6136e-02,0.39,0.36,0.395,-0.126
-9.6128e-02,0.39,0.36,0.395,-0.126
-9.6120e-02,0.39,0.36,0.395,-0.126
-9.6112e-02,0.39,0.36,0.395,-0.134
-9.6104e-02,0.39,0.36,0.395,-0.126
-9.6096e-02,0.39,0.36,0.375,-0.126
-9.6088e-02,0.43,0.36,0.395,-0.134
-9.6080e-02,0.39,0.36,0.395,-0.134
-9.6072e-02,0.43,0.36,0.395,-0.126
-9.6064e-02,0.35,0.32,0.395,-0.126
-9.6056e-02,0.35,0.36,0.395,-0.134
-9.6048e-02,0.43,0.36,0.395,-0.126
-9.6040e-02,0.39,0.36,0.395,-0.134
-9.6032e-02,0.39,0.36,0.375,-0.134
-9.6024e-02,0.39,0.36,0.395,-0.134
-9.6016e-02,0.39,0.36,0.395,-0.126
-9.6008e-02,0.39,0.32,0.395,-0.126
-9.6000e-02,0.39,0.36,0.395,-0.126
-9.5992e-02,0.39,0.36,0.395,-0.126
-9.5984e-02,0.39,0.4,0.395,-0.134
-9.5976e-02,0.39,0.36,0.395,-0.126
-9.5968e-02,0.39,0.36,0.395,-0.126
-9.5960e-02,0.39,0.36,0.395,-0.134
-9.5952e-02,0.35,0.36,0.395,-0.126
-9.5944e-02,0.39,0.36,0.395,-0.126
-9.5936e-02,0.39,0.36,0.395,-0.134
-9.5928e-02,0.39,0.36,0.395,-0.126
-9.5920e-02,0.39,0.36,0.395,-0.126
-9.5912e-02,0.39,0.36,0.395,-0.126
-9.5904e-02,-0.00999995,-0.04,0.135,-0.094
-9.5896e-02,0.03,-0.04,0.135,-0.078
-9.5888e-02,-0.00999995,-0.04,0.135,-0.086
-9.5880e-02,-0.00999995,-0.04,0.135,-0.094
-9.5872e-02,-0.00999995,-0.04,0.115,-0.086
-9.5864e-02,-0.00999995,-0.04,0.135,-0.086
